0 2.000000 2.000000
1 2.075095 2.000000
2 2.215475 2.000000
3 2.411330 2.000000
4 2.652850 2.000000
5 2.930225 2.000000
6 3.233645 2.000000
7 3.553300 2.000000
8 3.879380 2.000000
9 4.202075 2.000000
10 4.511575 2.000000
11 4.798070 2.000000
12 5.051750 2.000000
13 5.262805 1.995095
14 5.421424 1.975475
15 5.517799 1.931330
16 5.542120 1.852850
17 5.484574 1.730225
18 5.335354 1.553645
19 5.084649 1.313300
20 4.722649 0.999380
21 4.239544 0.602075
22 3.625524 0.111575
23 2.870779 -0.481930
24 1.965499 -1.188250
25 0.899874 -2.017195
26 -0.335907 -2.978575
27 -1.751652 -4.082200
28 -3.357172 -5.337880
29 -5.162277 -6.755425
30 -7.176777 -8.344646
31 -9.410482 -9.910000
32 -9.900000 -9.910000
33 -9.900000 -9.910000
34 -9.900000 -9.910000
35 -9.900000 -9.910000
36 -9.900000 -9.910000
37 -9.900000 -9.910000
38 -9.900000 -9.910000
39 -9.900000 -9.910000
40 -9.900000 -9.910000
41 -9.900000 -9.910000
42 -9.900000 -9.910000
43 -9.900000 -9.910000
44 -9.900000 -9.910000
45 -9.900000 -9.910000
46 -9.900000 -9.910000
47 -9.900000 -9.910000
48 -9.900000 -9.910000
49 -9.900000 -9.910000
50 -9.900000 -9.910000
51 -9.900000 -9.910000
52 -9.900000 -9.910000
53 -9.900000 -9.910000
54 -9.900000 -9.910000
55 -9.900000 -9.910000
56 -9.900000 -9.910000
57 -9.900000 -9.910000
58 -9.900000 -9.910000
59 -9.900000 -9.910000
60 -9.900000 -9.910000
