# Zvolene hodnoty h0 = 10, v0 = 60 m/s a alpha0 = 45°
# t[s]   x[m]   y[m]    vx[m/s]   vy[m/s]   v[m/s]
7.55     320.33   50.81    42.43    -31.62      60.00
7.56     320.75   50.49    42.43    -31.71      60.00
7.57     321.18   50.17    42.43    -31.81      60.00
7.58     321.60   49.85    42.43    -31.91      60.00
7.59     322.03   49.54    42.43    -32.01      60.00
7.60     322.45   49.21    42.43    -32.11      60.00
7.61     322.88   48.89    42.43    -32.20      60.00
7.62     323.30   48.57    42.43    -32.30      60.00
7.63     323.72   48.25    42.43    -32.40      60.00
7.64     324.15   47.92    42.43    -32.50      60.00
7.65     324.57   47.60    42.43    -32.60      60.00
7.66     325.00   47.27    42.43    -32.69      60.00
7.67     325.42   46.94    42.43    -32.79      60.00
7.68     325.85   46.61    42.43    -32.89      60.00
7.69     326.27   46.29    42.43    -32.99      60.00
7.70     326.69   45.95    42.43    -33.09      60.00
7.71     327.12   45.62    42.43    -33.18      60.00
7.72     327.54   45.29    42.43    -33.28      60.00
7.73     327.97   44.96    42.43    -33.38      60.00
7.74     328.39   44.62    42.43    -33.48      60.00
7.75     328.82   44.29    42.43    -33.58      60.00
7.76     329.24   43.95    42.43    -33.67      60.00
7.77     329.66   43.61    42.43    -33.77      60.00
7.78     330.09   43.28    42.43    -33.87      60.00
7.79     330.51   42.94    42.43    -33.97      60.00
7.80     330.94   42.60    42.43    -34.07      60.00
7.81     331.36   42.26    42.43    -34.17      60.00
7.82     331.79   41.91    42.43    -34.26      60.00
7.83     332.21   41.57    42.43    -34.36      60.00
7.84     332.63   41.23    42.43    -34.46      60.00
7.85     333.06   40.88    42.43    -34.56      60.00
7.86     333.48   40.54    42.43    -34.66      60.00
7.87     333.91   40.19    42.43    -34.75      60.00
7.88     334.33   39.84    42.43    -34.85      60.00
7.89     334.76   39.49    42.43    -34.95      60.00
7.90     335.18   39.14    42.43    -35.05      60.00
7.91     335.60   38.79    42.43    -35.15      60.00
7.92     336.03   38.44    42.43    -35.24      60.00
7.93     336.45   38.09    42.43    -35.34      60.00
7.94     336.88   37.73    42.43    -35.44      60.00
7.95     337.30   37.38    42.43    -35.54      60.00
7.96     337.73   37.02    42.43    -35.64      60.00
7.97     338.15   36.66    42.43    -35.73      60.00
7.98     338.57   36.31    42.43    -35.83      60.00
7.99     339.00   35.95    42.43    -35.93      60.00
8.00     339.42   35.59    42.43    -36.03      60.00
8.01     339.85   35.23    42.43    -36.13      60.00
8.02     340.27   34.86    42.43    -36.22      60.00
8.03     340.70   34.50    42.43    -36.32      60.00
8.04     341.12   34.14    42.43    -36.42      60.00
8.05     341.54   33.77    42.43    -36.52      60.00
8.06     341.97   33.41    42.43    -36.62      60.00
8.07     342.39   33.04    42.43    -36.72      60.00
8.08     342.82   32.67    42.43    -36.81      60.00
8.09     343.24   32.31    42.43    -36.91      60.00
8.10     343.67   31.94    42.43    -37.01      60.00
8.11     344.09   31.56    42.43    -37.11      60.00
8.12     344.51   31.19    42.43    -37.21      60.00
8.13     344.94   30.82    42.43    -37.30      60.00
8.14     345.36   30.45    42.43    -37.40      60.00
8.15     345.79   30.07    42.43    -37.50      60.00
8.16     346.21   29.70    42.43    -37.60      60.00
8.17     346.64   29.32    42.43    -37.70      60.00
8.18     347.06   28.94    42.43    -37.79      60.00
8.19     347.48   28.56    42.43    -37.89      60.00
8.20     347.91   28.19    42.43    -37.99      60.00
8.21     348.33   27.80    42.43    -38.09      60.00
8.22     348.76   27.42    42.43    -38.19      60.00
8.23     349.18   27.04    42.43    -38.28      60.00
8.24     349.61   26.66    42.43    -38.38      60.00
8.25     350.03   26.27    42.43    -38.48      60.00
8.26     350.45   25.89    42.43    -38.58      60.00
8.27     350.88   25.50    42.43    -38.68      60.00
8.28     351.30   25.11    42.43    -38.77      60.00
8.29     351.73   24.73    42.43    -38.87      60.00
8.30     352.15   24.34    42.43    -38.97      60.00
8.31     352.58   23.95    42.43    -39.07      60.00
8.32     353.00   23.56    42.43    -39.17      60.00
8.33     353.42   23.16    42.43    -39.26      60.00
8.34     353.85   22.77    42.43    -39.36      60.00
8.35     354.27   22.38    42.43    -39.46      60.00
8.36     354.70   21.98    42.43    -39.56      60.00
8.37     355.12   21.59    42.43    -39.66      60.00
8.38     355.55   21.19    42.43    -39.76      60.00
8.39     355.97   20.79    42.43    -39.85      60.00
8.40     356.39   20.39    42.43    -39.95      60.00
8.41     356.82   19.99    42.43    -40.05      60.00
8.42     357.24   19.59    42.43    -40.15      60.00
8.43     357.67   19.19    42.43    -40.25      60.00
8.44     358.09   18.79    42.43    -40.34      60.00
8.45     358.52   18.38    42.43    -40.44      60.00
8.46     358.94   17.98    42.43    -40.54      60.00
8.47     359.36   17.57    42.43    -40.64      60.00
8.48     359.79   17.16    42.43    -40.74      60.00
8.49     360.21   16.76    42.43    -40.83      60.00
8.50     360.64   16.35    42.43    -40.93      60.00
8.51     361.06   15.94    42.43    -41.03      60.00
8.52     361.49   15.53    42.43    -41.13      60.00
8.53     361.91   15.11    42.43    -41.23      60.00
8.54     362.33   14.70    42.43    -41.32      60.00
8.55     362.76   14.29    42.43    -41.42      60.00
8.56     363.18   13.87    42.43    -41.52      60.00
8.57     363.61   13.46    42.43    -41.62      60.00
8.58     364.03   13.04    42.43    -41.72      60.00
8.59     364.46   12.62    42.43    -41.81      60.00
8.60     364.88   12.20    42.43    -41.91      60.00
8.61     365.30   11.78    42.43    -42.01      60.00
8.62     365.73   11.36    42.43    -42.11      60.00
8.63     366.15   10.94    42.43    -42.21      60.00
8.64     366.58   10.52    42.43    -42.31      60.00
8.65     367.00   10.10    42.43    -42.40      60.00
8.66     367.43   9.67    42.43    -42.50      60.00
8.67     367.85   9.25    42.43    -42.60      60.00
8.68     368.27   8.82    42.43    -42.70      60.00
8.69     368.70   8.39    42.43    -42.80      60.00
8.70     369.12   7.96    42.43    -42.89      60.00
8.71     369.55   7.53    42.43    -42.99      60.00
8.72     369.97   7.10    42.43    -43.09      60.00
8.73     370.40   6.67    42.43    -43.19      60.00
8.74     370.82   6.24    42.43    -43.29      60.00
8.75     371.24   5.81    42.43    -43.38      60.00
8.76     371.67   5.37    42.43    -43.48      60.00
8.77     372.09   4.94    42.43    -43.58      60.00
8.78     372.52   4.50    42.43    -43.68      60.00
8.79     372.94   4.06    42.43    -43.78      60.00
8.80     373.37   3.63    42.43    -43.87      60.00
8.81     373.79   3.19    42.43    -43.97      60.00
8.82     374.21   2.75    42.43    -44.07      60.00
8.83     374.64   2.30    42.43    -44.17      60.00
8.84     375.06   1.86    42.43    -44.27      60.00
8.85     375.49   1.42    42.43    -44.36      60.00
8.86     375.91   0.98    42.43    -44.46      60.00
8.87     376.34   0.53    42.43    -44.56      60.00
